12486781;DIPROGENTA;+ Alpha Pharmaceuticals GmbH;SAL;2019-02-15;YES
12486798;DIPROGENTA;+ Alpha Pharmaceuticals GmbH;CRE;2019-02-15;YES
12486806;DIPROGENTA;+ Alpha Pharmaceuticals GmbH;CRE;2019-02-15;YES
12486812;DUSPATAL 200MG RETARD;+ Alpha Pharmaceuticals GmbH;REK;2019-02-15;YES
12486829;DYSPORT 500 EINHEITEN;+ Alpha Pharmaceuticals GmbH;PIJ;2019-02-15;YES
12486835;DYSPORT 500 EINHEITEN;+ Alpha Pharmaceuticals GmbH;PIJ;2019-02-15;YES
12486893;FRAGMIN 2.500 I.E. P;+ Alpha Pharmaceuticals GmbH;FER;2019-02-15;YES
12486901;FRAGMIN 2.500 I.E. P;+ Alpha Pharmaceuticals GmbH;FER;2019-02-15;YES
12486918;FRAGMIN 5.000 I.E. P FORTE;+ Alpha Pharmaceuticals GmbH;FER;2019-02-15;YES
12486924;FRAGMIN 5.000 I.E. P FORTE;+ Alpha Pharmaceuticals GmbH;FER;2019-02-15;YES
12486930;FRAGMIN 5.000 I.E. P FORTE;+ Alpha Pharmaceuticals GmbH;FER;2019-02-15;YES
12486947;FRAGMIN 5.000 I.E. P FORTE;+ Alpha Pharmaceuticals GmbH;FER;2019-02-15;YES
12486976;FRAGMIN 5.000 I.E. P FORTE;+ Alpha Pharmaceuticals GmbH;FER;2019-02-15;YES
12486982;FRAXIPARINE 1 ML;+ Alpha Pharmaceuticals GmbH;ILO;2019-02-15;YES
12486999;FUCICORT 20MG/G+1MG/G;+ Alpha Pharmaceuticals GmbH;CRE;2019-02-15;YES
12487007;FUCICORT 20MG/G+1MG/G;+ Alpha Pharmaceuticals GmbH;CRE;2019-02-15;YES
12487013;FUCICORT 20MG/G+1MG/G;+ Alpha Pharmaceuticals GmbH;CRE;2019-02-15;YES
12487036;FUCICORT LIPID20MG/G+1MG/G;+ Alpha Pharmaceuticals GmbH;CRE;2019-02-15;YES
12487065;GRANOCYTE 34;+ Alpha Pharmaceuticals GmbH;PLH;2019-02-15;YES
12487071;GRANOCYTE 34;+ Alpha Pharmaceuticals GmbH;PLH;2019-02-15;YES
12487094;HYALART;+ Alpha Pharmaceuticals GmbH;ILO;2019-02-15;YES
